codigo,nombre,descripcion,precio,idcateg,imagen1,imagen2,imagen3,imagen4,imagen5
JOSH01,Isabella,"Fabricado en alma de triplay de 12mm con esponja de alta resistencia.
Tapizado con vinil PVC de 2.2 MM altamente resistente al agua. Mecanismo hidraulico, sistema reclinable  a una posicion de angulo de 45 grados y la otra posicion que hace posible ajustar la silla en varias posiciones de reclinado. Tiene un mango comun y una palanca que hace posible el reclinado.","7,500.00",1,catalogo/josh01a.jpg,catalogo/josh01b.jpg,catalogo/josh01c.jpg,catalogo/josh01d.jpg,
JOSH02,Carola,"Fabricado en alma de triplay de 12mm con esponja de alta resistencia.
Tapizado con vinil PVC de 2.2 MM altamente resistente al agua.","5,500.00",1,catalogo/josh02a.jpg,catalogo/josh02b.jpg,,,
JOSH03,Lilia,"Fabricado en alma de triplay de 12mm con esponja de alta resistencia.
Tapizado con vinil PVC de 2.2 MM altamente resistente al agua.","5,500.00",1,catalogo/josh03a.jpg,catalogo/josh03b.jpg,catalogo/josh03c.jpg,catalogo/josh03d.jpg,
JOSH04,Samara,"Fabricado en alma de triplay de 12mm con esponja de alta resistencia.
Tapizado con vinil PVC de 2.2 MM altamente resistente al agua. Brazos  fabricados en molde de aluminio revestido en cromo.
","5,500.00",1,catalogo/josh04a.jpg,catalogo/josh04b.jpg,catalogo/josh04c.jpg,catalogo/josh04d.jpg,
JOSH06,Genesis,"Fabricado en alma de triplay de 12mm con esponja de alta resistencia.
Tapizado con vinil PVC de 2.2 MM altamente resistente al agua. Brazos  fabricados en molde de aluminio revestido en cromo
","4,200.00",1,catalogo/josh06a.jpg,catalogo/josh06b.jpg,catalogo/josh06c.jpg,catalogo/josh06d.jpg,catalogo/josh06e.jpg
JOSH07,Malva,"Fabricado en alma de triplay de 12mm con esponja de alta resistencia.
Tapizado con vinil PVC de 2.2 MM altamente resistente al agua. Brazos  fabricados en molde de aluminio revestido en cromo.
","4,200.00",1,catalogo/josh07a.jpg,catalogo/josh07b.jpg,catalogo/josh07c.jpg,catalogo/josh07d.jpg,
JOSH08,Milano,"Fabricado en alma de triplay de 12mm con esponja de alta resistencia.
Tapizado con vinil PVC de 2.2 MM altamente resistente al agua. Brazos  fabricados en plastico PVC doblemente reforzados .
","4,200.00",1,catalogo/josh08a.jpg,catalogo/josh08b.jpg,catalogo/josh08c.jpg,catalogo/josh08d.jpg,
JOSH09,Greta,"Fabricado en alma de triplay de 12mm con esponja de alta resistencia.
Tapizado con vinil PVC de 2.2 MM altamente resistente al agua. Brazos  fabricados en molde de aluminio revestido en cromo. ","5,500.00",1,catalogo/josh09a.jpg,catalogo/josh09b.jpg,catalogo/josh09c.jpg,catalogo/josh09d.jpg,
JOSH10,Sofia,"Fabricado en alma de triplay de 12mm con esponja de alta resistencia.
Tapizado con vinil PVC de 2.2 MM altamente resistente al agua.
","5,500.00",1,catalogo/josh10a.jpg,catalogo/josh10b.jpg,catalogo/josh10c.jpg,catalogo/josh10d.jpg,
JOSH11,Bridget,"Fabricado en alma de triplay de 12mm con esponja de alta resistencia.
Tapizado con vinil PVC de 2.2 MM altamente resistente al agua. Brazos  fabricados en molde de aluminio revestido en cromo. ","4,000.00",1,catalogo/josh11a.jpg,catalogo/josh11b.jpg,catalogo/josh11c.jpg,catalogo/josh11d.jpg,
JOSH12,Penelope,"Fabricado en alma de triplay de 12mm con esponja de alta resistencia.
Tapizado con vinil PVC de 2.2 MM altamente resistente al agua. Brazos  fabricados en molde de aluminio revestido en cromo. 
","4,000.00",1,catalogo/josh12a.jpg,,,,
JOSH13,Polonia,"Fabricado en alma de triplay de 12mm con esponja de alta resistencia.
Tapizado con vinil PVC de 2.2 MM altamente resistente al agua. Brazos  fabricados en molde de aluminio revestido en cromo cubiertos con pambazo en esponja de alta resistencia.
","4,000.00",1,catalogo/josh13a.jpg,catalogo/josh13b.jpg,catalogo/josh13c.jpg,catalogo/josh13d.jpg,
JOSH14,Antony,"Fabricado en alma de triplay de 12mm con esponja de alta resistencia.
Tapizado con vinil PVC de 2.2 MM altamente resistente al agua. Brazos  fabricados en molde de aluminio revestido en cromo cubiertos con pambazo en esponja de alta resistencia.
","4,000.00",1,catalogo/josh14a.jpg,catalogo/josh14b.jpg,catalogo/josh14c.jpg,catalogo/josh14d.jpg,
JOSH15,Odette,"Fabricado en alma de triplay de 12mm con esponja de alta resistencia.
Tapizado con vinil PVC de 2.2 MM altamente resistente al agua. Brazos  fabricados en molde de aluminio revestido en cromo.
","4,000.00",1,catalogo/josh15a.jpg,,,,
JOSH16,Arcadia,"Fabricado en alma de triplay de 12mm con esponja de alta resistencia.
Tapizado con vinil PVC de 2.2 MM altamente resistente al agua. Brazos  fabricados en molde de aluminio revestido en cromo.
","4,000.00",1,catalogo/josh16a.jpg,catalogo/josh16b.jpg,catalogo/josh16c.jpg,catalogo/josh16d.jpg,
JOSH17,Susan,"Fabricado en alma de triplay de 12mm con esponja de alta resistencia.
Tapizado con vinil PVC de 2.2 MM altamente resistente al agua. Brazos  fabricados en molde de aluminio revestido en cromo cubiertos con pambazo en esponja de alta resistencia.
","4,000.00",1,catalogo/josh17a.jpg,,,,
